ReferenceYear,FacilityName,FacilityProvince,latitude,longitude,CO2,CH4,TotalEmissions
2022,Carseland Power Plant,Alberta,50.90123,-113.39283,356086.73,23.82,358950.54
2022,Carseland Power Plant,Alberta,50.90123,-113.39283,0.0185,1.1729,32.8597
2022,Orica Carseland,Alberta,50.8467,-113.58117,504.9308,0.0113,507.1022
2022,Orica Carseland,Alberta,50.8467,-113.58117,0,0,35265.935
2022,Orica Carseland,Alberta,50.8467,-113.58117,239.6633,0.0259,244.4695
2022,Ingredion Canada Incorporated - London Plant,Ontario,42.9217,-81.1942,130577.5378,2.56353,131252.3999
2022,Cavalier Energy Centre,Alberta,51.0056,-113.1716,0.0389,10.2444,286.8821
2022,Cavalier Energy Centre,Alberta,51.0056,-113.1716,313675.935,22.7221,316425.0253
2022,Cavendish Farms,Prince Edward Island,46.4222,-63.679,1.06,3.197854,93.408117
2022,Cavendish Farms,Prince Edward Island,46.4222,-63.679,47486.33,0.83,47716.27
2022,Cavendish Farms,Prince Edward Island,46.4222,-63.679,0,10.95,1674.265
2022,Co-op Refinery Complex,Saskatchewan,50.4843,-104.5794,20340.116,17.501,20878.904
2022,Co-op Refinery Complex,Saskatchewan,50.4843,-104.5794,0,35.48,993.44
2022,Co-op Refinery Complex,Saskatchewan,50.4843,-104.5794,1008658.732,30.726,1017150
2022,Co-op Refinery Complex,Saskatchewan,50.4843,-104.5794,693715.702,24.915,694900.127
2022,Co-op Refinery Complex,Saskatchewan,50.4843,-104.5794,0,254.336,7235.093
2022,Centrale de Cap-aux-Meules,Quebec,47.3743,-61.8858,126884.061,1.4684,127614.3644
2022,Chimie Parachem s.e.c,Quebec,45.6324,-73.5244,44.571,0.1345,48.443
2022,Chimie Parachem s.e.c,Quebec,45.6324,-73.5244,0,3.1496,88.1888
2022,Chimie Parachem s.e.c,Quebec,45.6324,-73.5244,207689.767,0.118,208366.489
2022,Chimie Parachem s.e.c,Quebec,45.6324,-73.5244,230.059,,230.059
2022,Christina Lake SAGD Bitumen Battery,Alberta,55.5827,-110.8888,7339.40084,42.35186,8549.79987
2022,Christina Lake SAGD Bitumen Battery,Alberta,55.5827,-110.8888,15.83552,133.10598,3742.80296
2022,Christina Lake SAGD Bitumen Battery,Alberta,55.5827,-110.8888,3839786.167,88.26096,3851499.378
2022,Christina Lake SAGD Bitumen Battery,Alberta,55.5827,-110.8888,10850.1,0.468,11022.204
2022,Christina Lake SAGD Bitumen Battery,Alberta,55.5827,-110.8888,5.13638,57.61959,1618.4849
2022,Cimenterie de Saint-Basile,Quebec,46.7447,-71.8126,211411,2.8627,212143.9301
2022,Cimenterie de Saint-Basile,Quebec,46.7447,-71.8126,554089.5954,,554089.5954
2022,Cimenterie de Saint-Basile,Quebec,46.7447,-71.8126,3504,0.4569,3519.4432
2022,Cimenterie de Saint-Constant,Quebec,45.3401,-73.52367,325360.8,8.493,326367.104
2022,Cimenterie de Saint-Constant,Quebec,45.3401,-73.52367,398519.3,,398519.3
2022,Cimenterie de Saint-Constant,Quebec,45.3401,-73.52367,2264.65,0.1277,2279.4351
2022,Electric Utility - Generation,Alberta,50.04092,-110.7219,2.786017,155.161837,4347.317453
2022,Electric Utility - Generation,Alberta,50.04092,-110.7219,574048.0811,39.8323,579001.8045
2022,Electric Utility - Generation,Alberta,50.04092,-110.7219,0.003315,0.184692,5.174691
2022,Clover Bar Energy Centre,Alberta,53.5874,-113.3647,0.1403,9.1856,257.3371
2022,Clover Bar Energy Centre,Alberta,53.5874,-113.3647,336325.6826,24.7424,338790.5513
2022,Clover Bar Energy Centre,Alberta,53.5874,-113.3647,0.0046,0.2591,7.2594
2022,Coal Mountain Operations,British Columbia,49.50941,-114.65158,509.05,0.0098,511.6564
2022,Coal Mountain Operations,British Columbia,49.50941,-114.65158,1402.8008,0.07096,1458.37333
2022,Cochrane Extraction Plant,Alberta,51.2225,-114.4956,657.26655,4.38372,780.40556
2022,Cochrane Extraction Plant,Alberta,51.2225,-114.4956,0.07375,106.88341,2992.80923
2022,Cochrane Extraction Plant,Alberta,51.2225,-114.4956,486103.641,33.49688,490274.0051
2022,Cochrane Extraction Plant,Alberta,51.2225,-114.4956,22.786,0.001,22.814
2022,Cochrane Extraction Plant,Alberta,51.2225,-114.4956,37713.6949,68.71387,39637.68326
2022,Cold Lake,Alberta,54.59702,-110.39972,17918.3562,58.9108,19577.7166
2022,Cold Lake,Alberta,54.59702,-110.39972,96.9972,7.7314,313.4764
2022,Cold Lake,Alberta,54.59702,-110.39972,5787183.185,192.8064,5821155.681
2022,Cold Lake,Alberta,54.59702,-110.39972,10974.5955,0.9062,11443.0491
2022,Cold Lake,Alberta,54.59702,-110.39972,364.8671,86.8391,2796.3619
2022,Cold Lake,Alberta,54.59702,-110.39972,0.84,0.001,0.868
2022,Coleson Cove Generating Station,New Brunswick,45.1534,-66.2025,826268.091,8.11,830539.071
2022,Chatham,Ontario,42.3839,-82.2218,130288.5941,2.450982,130936.439
2022,Chatham,Ontario,42.3839,-82.2218,98.2893,0.1028,103.0492
2022,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,Quebec,46.0475,-73.13778,183673,3.615,184632.82
2022,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,Quebec,46.0475,-73.13778,787660,0,787945.866
2022,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,Quebec,46.0475,-73.13778,9346,0.98,10351.502
2022,Corner Brook Pulp and Paper,Newfoundland and Labrador,48.9552,-57.9485,31447.62,1.29911,31708.05258
2022,Corner Brook Pulp and Paper,Newfoundland and Labrador,48.9552,-57.9485,0,,322.580069
2022,Corner Brook Pulp and Paper,Newfoundland and Labrador,48.9552,-57.9485,736,0.0917,766.2071
2022,Cory Cogeneration Station,Saskatchewan,52.0919,-106.8475,519729.913,133.708906,527017.0484
2022,Crofton Division,British Columbia,48.875,-123.645,175436.5472,147.6964,189288.2449
2022,Crofton Division,British Columbia,48.875,-123.645,3699.7255,0.179,3848.4735
2022,Crofton Division,British Columbia,48.875,-123.645,0,,137.535
2022,ATCO Gas - Distribution System,Alberta,,,15.0592,0.0147,15.5768
2022,ATCO Gas - Distribution System,Alberta,,,97.4446,3502.6083,98170.477
2022,ATCO Gas - Distribution System,Alberta,,,56209.9019,55.0141,58129.3527
2022,ATCO Gas - Distribution System,Alberta,,,7.15,354.9493,9945.7304
2022,Kruger Trois-Rivières S.E.C.,Quebec,46.33639,-72.55556,80911,8.532,81749.591
2022,Kruger Trois-Rivières S.E.C.,Quebec,46.33639,-72.55556,0,,13
2022,Kruger Trois-Rivières S.E.C.,Quebec,46.33639,-72.55556,1005,0.267,1062.826
2022,Usine Kénogami,Quebec,48.4289,-71.2437,20557.24,0.402,20663.101
2022,Usine Kénogami,Quebec,48.4289,-71.2437,422.35,0.286,431.948
2022,Usine Kénogami,Quebec,48.4289,-71.2437,0,262.16,7340.48
2022,ArcelorMittal Dofasco,Ontario,43.2597,-79.8111,906134.3088,13.23181,909614.4362
2022,ArcelorMittal Dofasco,Ontario,43.2597,-79.8111,3022115.229,,3027013.734
2022,ArcelorMittal Dofasco,Ontario,43.2597,-79.8111,23887.5272,0.672675,23983.3401
2022,Espanola Mill,Ontario,46.26806,-81.76806,182421.364,17.5452,184789.1211
2022,Espanola Mill,Ontario,46.26806,-81.76806,0,,11.7936
2022,Espanola Mill,Ontario,46.26806,-81.76806,1382.037,0.308,1397.021
2022,Espanola Mill,Ontario,46.26806,-81.76806,0,1596.736,44708.608
2022,East Calgary Landfill,Alberta,51.0265,-113.9419,936,0.046,974.388
2022,East Calgary Landfill,Alberta,51.0265,-113.9419,0,1381.6573,38718.3899
2022,East Crossfield Gas Plant 9-14-28-1W5,Alberta,51.4001,-114.0343,5195.579,28.884,6026.061
2022,East Crossfield Gas Plant 9-14-28-1W5,Alberta,51.4001,-114.0343,1.434,0.043,2.638
2022,East Crossfield Gas Plant 9-14-28-1W5,Alberta,51.4001,-114.0343,52930.824,55.8,55200.509
2022,East Crossfield Gas Plant 9-14-28-1W5,Alberta,51.4001,-114.0343,1.081,0.000011,1.082103
2022,East Crossfield Gas Plant 9-14-28-1W5,Alberta,51.4001,-114.0343,0,2.443,68.404
2022,Edmonton Site,Alberta,53.5397,-113.4092,158,,162.505
2022,Edmonton Site,Alberta,53.5397,-113.4092,23483.9,4.54,23754.12
2022,Edmonton Site,Alberta,53.5397,-113.4092,0,,1172.7562
2022,Edmonton Site,Alberta,53.5397,-113.4092,156.53,0.104,160.237
2022,Edmonton Site,Alberta,53.5397,-113.4092,25.31,,25.31
2022,Twin Rivers Pulp Ltd.,New Brunswick,47.3749,-68.3333,28045.8745,49.5005,37056.654
2022,Twin Rivers Pulp Ltd.,New Brunswick,47.3749,-68.3333,2738.3867,0.0819,2746.3509
2022,Twin Rivers Pulp Ltd.,New Brunswick,47.3749,-68.3333,0,279.0781,8730.9278
2022,Edson Gas Plant,Alberta,53.5575,-116.5472,35148.0196,77.64276,37346.11598
2022,Edson Gas Plant,Alberta,53.5575,-116.5472,1.18985,16.447,461.70585
2022,Edson Gas Plant,Alberta,53.5575,-116.5472,127166.5097,314.38568,138207.8009
2022,Edson Gas Plant,Alberta,53.5575,-116.5472,6.612,,6.612
2022,Edson Gas Plant,Alberta,53.5575,-116.5472,11.52705,267.72436,7507.80913
2022,Ekati Diamond Mine,Northwest Territories,64.7195,-110.6201,85901.35,2.498929,86141.12989
2022,Ekati Diamond Mine,Northwest Territories,64.7195,-110.6201,1146.58,0.033214,1149.779982
2022,Ekati Diamond Mine,Northwest Territories,64.7195,-110.6201,76650.11,2.095357,77498.91009
2022,Ekati Diamond Mine,Northwest Territories,64.7195,-110.6201,0,1.130486,53.661858
2022,Ekati Diamond Mine,Northwest Territories,64.7195,-110.6201,0,0.997143,36.340114
2022,Elkem Métal Chicoutimi,Quebec,48.4124,-71.1307,853.715,0.016827,858.160626
2022,Elkem Métal Chicoutimi,Quebec,48.4124,-71.1307,117530,71.28,119949.3426
2022,Elkem Métal Chicoutimi,Quebec,48.4124,-71.1307,319.4,0.016,332.568
2022,"Foothills Pipeline, British Columbia System",British Columbia,49.64782,-114.71692,2.42441,97.14417,2722.46117
2022,"Foothills Pipeline, British Columbia System",British Columbia,49.64782,-114.71692,374453.0717,370.48227,387413.1237
2022,"Foothills Pipeline, British Columbia System",British Columbia,49.64782,-114.71692,9.2745,373.56176,10469.00378
2022,Elkview Operations,British Columbia,49.75808,-114.82594,0,7424.01795,207872.5026
2022,Elkview Operations,British Columbia,49.75808,-114.82594,66436.0778,1.4445,66919.3123
2022,Elkview Operations,British Columbia,49.75808,-114.82594,0,,25.85
2022,Elkview Operations,British Columbia,49.75808,-114.82594,207311.8226,10.409,215782.5526
2022,Elmworth Gas Plant,Alberta,55.0415,-119.631,8230.48255,20.63843,8825.94399
2022,Elmworth Gas Plant,Alberta,55.0415,-119.631,0.98482,4.83309,136.31134
2022,Elmworth Gas Plant,Alberta,55.0415,-119.631,101739.1155,101.61529,105791.8506
2022,Elmworth Gas Plant,Alberta,55.0415,-119.631,67483.76395,38.96236,68574.71003
2022,Empress Gas Plant,Alberta,50.676,-110.025,10885.1988,71.3635,12934.1773
2022,Empress Gas Plant,Alberta,50.676,-110.025,0.6168,34.0192,953.1544
2022,Empress Gas Plant,Alberta,50.676,-110.025,59871.8752,1.158,60198.5022
2022,Empress Gas Plant,Alberta,50.676,-110.025,58.1985,0.0025,58.401
2022,Empress Gas Plant,Alberta,50.676,-110.025,0.2193,12.3364,345.6385
2022,Empress 6,Alberta,50.684,-110.03288,19677.4826,24.2486,20443.6284
2022,Empress 6,Alberta,50.684,-110.03288,1.2534,79.74,2233.9734
2022,Empress 6,Alberta,50.684,-110.03288,205288.2581,16.8732,206740.4657
2022,Empress 6,Alberta,50.684,-110.03288,258.4322,0.0136,267.9025
2022,Empress 6,Alberta,50.684,-110.03288,0.0016,0.0795,2.2276
2022,Empress 6,Alberta,50.684,-110.03288,0,0.1924,5.3872
2022,Exshaw Cement Plant,Alberta,51.0589,-115.1745,315770,6,317398.15
2022,Exshaw Cement Plant,Alberta,51.0589,-115.1745,854659.6527,,854659.6527
2022,Exshaw Cement Plant,Alberta,51.0589,-115.1745,4344.26,0.1248,4356.6849
2022,Woodstock Plant,Ontario,43.0989,-80.8943,190376.7357,4.484967,191185.6233
2022,Woodstock Plant,Ontario,43.0989,-80.8943,229032.5559,,229032.5559
2022,Fording River Operations,British Columbia,50.18992,-114.87901,0,11487.9652,321663.0256
2022,Fording River Operations,British Columbia,50.18992,-114.87901,91915.8629,1.91,92465.7409
2022,Fording River Operations,British Columbia,50.18992,-114.87901,376407.826,18.8555,391832.2515
2022,Fort Nelson Gas Plant,British Columbia,58.65461,-122.68815,5373.95858,38.641765,6458.688505
2022,Fort Nelson Gas Plant,British Columbia,58.65461,-122.68815,0.755831,22.746843,637.667435
2022,Fort Nelson Gas Plant,British Columbia,58.65461,-122.68815,166989.3403,3.441188,167912.0686
2022,Fort Nelson Gas Plant,British Columbia,58.65461,-122.68815,210911.9643,32.280529,211815.8191
2022,Fort Nelson Gas Plant,British Columbia,58.65461,-122.68815,0,0,0.090895
2022,Fort Nelson Generating Station,British Columbia,58.64,-122.67,193120.3455,49.25882,195807.3067
2022,Fort Nelson Generating Station,British Columbia,58.64,-122.67,6.881633,0.000344,7.165275
2022,Fort Saskatchewan,Alberta,53.7217,-113.1917,43.1666,0.3203,52.5855
2022,Fort Saskatchewan,Alberta,53.7217,-113.1917,220415.035,4.4404,221583.8637
2022,Fort Saskatchewan,Alberta,53.7217,-113.1917,58507.4432,,58507.4432
2022,Fort Saskatchewan,Alberta,53.7217,-113.1917,1563.2124,0.311,1581.7784
2022,Fort Saskatchewan,Alberta,53.7217,-113.1917,589.339,41.70356,1757.03868
2022,Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,Alberta,53.7235,-113.1738,447875.7569,30.756016,451061.7057
2022,Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,Alberta,53.7235,-113.1738,0,,28.2
2022,Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,Alberta,53.7235,-113.1738,1.594646,0.000145,1.604536
2022,Fort Saskatchewan Nitrogen Operations,Alberta,53.72539,-113.193,74.464,0.00144,74.84352
2022,Fort Saskatchewan Nitrogen Operations,Alberta,53.72539,-113.193,0.95,63.53,1779.79
2022,Fort Saskatchewan Nitrogen Operations,Alberta,53.72539,-113.193,424318.1095,8.36293,426522.5889
2022,Fort Saskatchewan Nitrogen Operations,Alberta,53.72539,-113.193,239124,,239124
2022,Fort Saskatchewan Nitrogen Operations,Alberta,53.72539,-113.193,263.346,0.016,270.419
2022,Fort Saskatchewan Nitrogen Operations,Alberta,53.72539,-113.193,1155.62,46.6,2460.42
2022,Fort Saskatchewan Storage and Fractionation,Alberta,53.7575,-113.1499,21267.7826,10.2763,21996.108
2022,Fort Saskatchewan Storage and Fractionation,Alberta,53.7575,-113.1499,0.115,0.278,7.899
2022,Fort Saskatchewan Storage and Fractionation,Alberta,53.7575,-113.1499,87250.2942,1.6696,87721.2285
2022,Fort Saskatchewan Storage and Fractionation,Alberta,53.7575,-113.1499,1135.3697,0.0653,1252.4731
2022,Fort Saskatchewan Storage and Fractionation,Alberta,53.7575,-113.1499,0.0357,0.0195,0.5817
2022,Fort Saskatchewan EOEG,Alberta,53.7332,-113.175,1389.6553,6.8536,1582.2186
